"","ETBL_ID","ETBL_NOM_FR","ADR_CIVIQUE","ADR_MUNICIPALITE","ADR_CODE_POSTAL","ADR_LATITUDE","ADR_LONGITUDE"
"1429",1135700,"HÔTEL ECONOLODGE AÉROPORT STE-FOY","7320, boul. Wilfrid-Hamel","Québec","G2G1C1",46.781106,-71.366983
"1430",1135782,"ALT HÔTEL QUÉBEC","1200, av. de Germain-Des-Prés","Québec","G1V3M7",46.769487,-71.287969
"1431",1135987,"LES CHALETS DE LA BAIE BLEUE","209, rue du Quai","Carleton-sur-Mer","G0C1J0",48.104171,-66.129689
"1432",1136252,"C3 - HÔTEL ART DE VIVRE","170, Grande Allée O.","Québec","G1R2G9",46.801629,-71.22486
"1433",1136312,"LES CHALETS &#38; MAISONNETTES LA MARTINIQUE INC.","552, ch. de la Martinique","Les Îles-de-la-Madeleine","G4T3S5",47.302241,-61.935746
"1434",1136367,"BISTRO-AUBERGE CHEZ TRUCHON","1065, rue Richelieu","La Malbaie","G5A2X8",47.634771,-70.14277
"1435",1136544,"AUBERGE DU JARDIN","71, rue Dumas","Petit-Saguenay","G0V1N0",48.20569,-70.058916
"1436",1136627,"HÉBERGEMENT TEMILAC","33, rue de la Plage","Témiscouata-sur-le-Lac","G0L1E0",47.68678,-68.883238
"1437",1136725,"HÔTEL AU VIEUX BARDEAU","479, ch. du Roy","Deschambault-Grondines","G0A1S0",46.591539,-72.040128
"1438",1136787,"MOTEL BELLEFEUILLE","2070, rue Bellefeuille","Trois-Rivières","G9A3Y8",46.338711,-72.552406
"1439",1136899,"HÔTEL BELLEY","249, rue St-Paul","Québec","G1K3W5",46.816985,-71.210007
"1440",1136977,"MOTEL L'ESCALE","15, rte 155","Chambord","G0W1G0",48.433272,-72.079808
"1441",1137045,"HÔTEL ET SUITES LE DAUPHIN","600, boul. St-Joseph","Drummondville","J2C2C1",45.893013,-72.513872
"1442",1137194,"HÔTEL-MOTEL LE 4 SAISONS","1262, ch. Quatre-Saisons","Notre-Dame-du-Bon-Conseil","J0C1A0",45.991959,-72.388605
"1443",1137422,"MOTEL NOLEN","975, rue St-Laurent","Saint-Siméon","G0T1X0",47.822594,-69.893222
"1444",1137591,"VILLAGE VACANCES PETIT-SAGUENAY","99, ch. St-Étienne","Petit-Saguenay","G0V1N0",48.202244,-69.952259
"1445",1137678,"MOTEL LE MARINIER","289, rte 138","Les Escoumins","G0T1K0",48.350801,-69.405394
"1446",1137905,"HÔTEL DU BOULEVARD","1610, boul. Wallberg","Dolbeau-Mistassini","G8L1H4",48.880084,-72.230086
"1447",1138161,"MOTEL CHALETS CHEZ LAURENT","1493, boul. Monseigneur-De Laval","Baie-Saint-Paul","G3Z2X6",47.5214638,-70.5151753
"1448",1138328,"MOTEL &#38; CHALETS WATERLOO","2970, rte 112","Shefford","J2M1C6",45.335673,-72.496535
"1449",1138474,"HÔTEL LE PIONNIER","263, rue des Pionniers","Tadoussac","G0T2A0",48.143516,-69.713537
"1450",1138821,"HÔTEL BEST WESTERN PLUS CENTRE-VILLE","330, rue de la Couronne","Québec","G1K6E6",46.81509,-71.225481
"1451",1139013,"MOTEL GIL-BER","269, rte 138","Saint-Hilarion","G0A3V0",47.572024,-70.417814
"1452",1139201,"AUBERGE LA MARÉE DOUCE","1329, boul. Ste-Anne","Rimouski","G5M1W2",48.520925,-68.455081
