ETBL_ID;ADR_ID;ADR_GENRE_ID;ADR_GENRE_FR;ADR_GENRE_EN;ADR_PRINCIPALE;ADR_CIVIQUE;ADR_MUNICIPALITE;ADR_PROVINCE;ADR_PAYS;ADR_CODE_POSTAL;ADR_PNT_SERVC_FR;ADR_PNT_SERVC_EN;ADR_PNT_SERVC_DEFAUT;ADR_LATITUDE;ADR_LONGITUDE;ADR_COMMENT_FR;ADR_COMMENT_EN
846664;10548281;7;Exploitation;Operations;1;143, ch. McNicoll;Low;Québec;Canada;J0X1S0;;;1;45.797227;-76.150661;;
846864;11513229;7;Exploitation;Operations;1;1984, rte 117;Val-David;Québec;Canada;J0T2N0;;;1;46.040197;-74.227211;;
847180;11513238;7;Exploitation;Operations;1;85, ch. Cammac;Harrington;Québec;Canada;J8G2T2;;;1;45.851841;-74.577177;;
847241;847245;7;Exploitation;Operations;1;613A, route 219 Nord;Hemmingford;Québec;Canada;J0L1H0;;;1;45.056228;-73.585186;;
847322;847326;7;Exploitation;Operations;1;2, rte 117;Montcerf-Lytton;Québec;Canada;J0W1N0;;;1;46.72936;-76.072254;;
847496;13183020;7;Exploitation;Operations;1;1780, ch. du Lac-Quenouille;Sainte-Agathe-des-Monts;Québec;Canada;J8C0R4;;;1;46.152179;-74.367796;;
847628;103202824;7;Exploitation;Operations;1;245, ch. Scotch;Grenville-sur-la-Rouge;Québec;Canada;J0V1B0;;;1;45.740583;-74.593966;;
847771;847775;7;Exploitation;Operations;1;1555, ch. Joli-B;Rouyn-Noranda;Québec;Canada;J0Z3J0;;;1;47.960445;-79.298533;;
847984;11513241;7;Exploitation;Operations;1;1771, ch. de la Baie-Gillies;Fugèreville;Québec;Canada;J0Z2A0;;;1;47.420647;-79.118375;;
848083;13165303;7;Exploitation;Operations;1;817, rte des Campagnards;Val-d'Or;Québec;Canada;J9P0C2;;;1;48.256486;-77.627029;;
848263;16473524;7;Exploitation;Operations;1;3288, rang du Lac-Flavrian;Rouyn-Noranda;Québec;Canada;J0Z1Y1;;;1;48.272899;-79.163581;;
848493;848497;7;Exploitation;Operations;1;1175, rue de la Sapinière;Val-David;Québec;Canada;J0T2N0;;;1;46.028612;-74.201096;;
849290;20300804;7;Exploitation;Operations;1;5625, av. Decelles;Montréal;Québec;Canada;H3T1W4;;;1;45.50025;-73.624418;;
850349;13182627;7;Exploitation;Operations;1;4610, rte Principale;Wentworth-Nord;Québec;Canada;J0T1Y0;;;1;45.828009;-74.473245;;
850424;13176294;7;Exploitation;Operations;1;750, rue Deguise;Entrelacs;Québec;Canada;J0T2E0;;;1;46.106713;-74.0191;;
850493;13182843;7;Exploitation;Operations;1;103, ch. de la Minerve;La Minerve;Québec;Canada;J0T1S0;;;1;46.267436;-74.915233;;
850713;11511122;7;Exploitation;Operations;1;2521, rue du Pont;Saint-André-d'Argenteuil;Québec;Canada;J0V1X0;;;1;45.583691;-74.378299;;
850765;850769;7;Exploitation;Operations;1;330, route 117, C.P. 4690;Mont-Tremblant;Québec;Canada;J8E2X3;;;1;46.117157;-74.561806;;
851083;42040055;7;Exploitation;Operations;1;2311, rte 148;Grenville-sur-la-Rouge;Québec;Canada;J0V1B0;;;1;45.647363;-74.80004;;
851143;13182698;7;Exploitation;Operations;1;5000, ch. des Pins;Sainte-Agathe-des-Monts;Québec;Canada;J8C2Z7;;;1;46.015409;-74.270892;;
851340;20301003;7;Exploitation;Operations;1;673, montée St-Elmire;Saint-Sauveur;Québec;Canada;J0R1R1;;;1;45.854339;-74.181436;;
851421;13192152;7;Exploitation;Operations;1;240, ch. du Lac-Bouchette;Morin-Heights;Québec;Canada;J0R1H0;;;1;45.92259;-74.231471;;
851455;13182810;7;Exploitation;Operations;1;76, ch. de Barkmere;Arundel;Québec;Canada;J0T1A0;;;1;45.998034;-74.58918;;
851581;11513295;7;Exploitation;Operations;1;184, rue Harrisson;Mont-Tremblant;Québec;Canada;J8E1M8;;;1;46.191942;-74.642084;;
851676;13192250;7;Exploitation;Operations;1;167, ch. des Oliviers;Sainte-Anne-des-Lacs;Québec;Canada;J0R1B0;;;1;45.840517;-74.152727;;
851729;102871982;7;Exploitation;Operations;1;55, 380e Avenue;Saint-Hippolyte;Québec;Canada;J8A2Z4;;;1;45.951232;-73.976666;;
851852;16473907;7;Exploitation;Operations;1;10800, ch. du Lac-Labelle;Labelle;Québec;Canada;J0T1H0;;;1;46.207718;-74.852074;;
851898;14601747;7;Exploitation;Operations;1;130, 1re rue du Lac-Rouge N.;Saint-Alphonse-Rodriguez;Québec;Canada;J0K1W0;;;1;46.189702;-73.701932;;
851975;12688333;7;Exploitation;Operations;1;210, rue Papillon;Saint-Alphonse-Rodriguez;Québec;Canada;J0K1W0;;;1;46.193424;-73.678466;;
852076;13176176;7;Exploitation;Operations;1;941, rue Principale;Saint-Côme;Québec;Canada;J0K2B0;;;1;46.278557;-73.75827;;
852254;13175804;7;Exploitation;Operations;1;959, rue Principale;Saint-Donat;Québec;Canada;J0T2C0;;;1;46.308237;-74.206471;;
852336;13258810;7;Exploitation;Operations;1;717, ch. Bouchard;Saint-Damase;Québec;Canada;J0H1J0;;;1;45.532789;-72.957239;;
852386;102892847;7;Exploitation;Operations;1;C.P. 38-1584, route 167 Nord;Chibougamau;Québec;Canada;G8P2K5;;;1;49.914426;-74.294424;;
852446;16474055;7;Exploitation;Operations;1;830, rue Ste-Anne;Saint-Alexis-des-Monts;Québec;Canada;J0K1V0;;;1;46.601012;-73.101053;;
852501;852505;7;Exploitation;Operations;1;Route 9, secteur de l'Assomption;Saint-Côme;Québec;Canada;J0K2B0;;;1;46.38534;-73.898919;;
852580;13176147;7;Exploitation;Operations;1;2464, rte 125 S.;Saint-Donat;Québec;Canada;J0T2C0;;;1;46.2835941;-74.17019;;
852746;13183048;7;Exploitation;Operations;1;1889, ch. des Mésanges;Nominingue;Québec;Canada;J0W1R0;;;1;46.377919;-75.01637;;
852815;14630778;7;Exploitation;Operations;1;2711, place des Petits;Sainte-Julienne;Québec;Canada;J0K2T0;;;1;45.985936;-73.732798;;
853003;853007;7;Exploitation;Operations;1;443, rte 309;Val-des-Bois;Québec;Canada;J0X3C0;;;1;45.89481;-75.606494;;
853244;853248;7;Exploitation;Operations;1;1019, rue St-Hubert;Montréal;Québec;Canada;H2L3Y3;;;1;45.513611;-73.554616;;
853301;853305;7;Exploitation;Operations;1;1477, rue Dorion;Montréal;Québec;Canada;H2K4A4;;;1;45.524189;-73.552295;;
853344;13258847;7;Exploitation;Operations;1;64, 13e Avenue;Saint-Paul-de-l'Île-aux-Noix;Québec;Canada;J0J1G0;;;1;45.079484;-73.329626;;
853420;16474219;7;Exploitation;Operations;1;100, rang Petit-Beloeil;Sainte-Béatrix;Québec;Canada;J0K2B0;;;1;46.261644;-73.695729;;
853465;11511202;7;Exploitation;Operations;1;1183, Grand rang Ste-Clotilde;Sainte-Clotilde;Québec;Canada;J0L1W0;;;1;45.17196;-73.69909;;
853846;13255932;7;Exploitation;Operations;1;130, ch. du Lac-Blanc;Huberdeau;Québec;Canada;J0T1G0;;;1;46.03286;-74.662275;;
853904;13255888;7;Exploitation;Operations;1;10423, montée Ste-Marianne;Mirabel;Québec;Canada;J7J2B1;;;1;45.658505;-73.90889;;
854119;13259044;7;Exploitation;Operations;1;32, ch. de la Base-de-Plein-Air;Bowman;Québec;Canada;J8N9P6;;;1;45.905569;-75.73759;;
