ETBL_ID;ETBL_TYPE_GENRE;ETBL_TYPE_ID;ETBL_TYPE_FR;ETBL_TYPE_EN;ETBL_TYPE_GRP_ID;ETBL_TYPE_GRP_FR;ETBL_TYPE_GRP_EN;ETBL_TYPE_CATG_ID;ETBL_TYPE_CATG_FR;ETBL_TYPE_CATG_EN
857654;principal;10809;Centre de vacances;Holiday centre;;;;10803;HÉBERGEMENT;LODGING/ACCOMMODATION
858282;principal;;;;10817;Hôtel;Hotel;10803;HÉBERGEMENT;LODGING/ACCOMMODATION
858451;principal;;;;10817;Hôtel;Hotel;10803;HÉBERGEMENT;LODGING/ACCOMMODATION
858503;principal;;;;10817;Hôtel;Hotel;10803;HÉBERGEMENT;LODGING/ACCOMMODATION
858572;principal;;;;10817;Hôtel;Hotel;10803;HÉBERGEMENT;LODGING/ACCOMMODATION
858802;principal;;;;10817;Hôtel;Hotel;10803;HÉBERGEMENT;LODGING/ACCOMMODATION
859049;principal;;;;10817;Hôtel;Hotel;10803;HÉBERGEMENT;LODGING/ACCOMMODATION
859102;principal;;;;10817;Hôtel;Hotel;10803;HÉBERGEMENT;LODGING/ACCOMMODATION
859376;principal;;;;10817;Hôtel;Hotel;10803;HÉBERGEMENT;LODGING/ACCOMMODATION
859575;principal;;;;10817;Hôtel;Hotel;10803;HÉBERGEMENT;LODGING/ACCOMMODATION
859750;principal;;;;10817;Hôtel;Hotel;10803;HÉBERGEMENT;LODGING/ACCOMMODATION
859975;principal;;;;10817;Hôtel;Hotel;10803;HÉBERGEMENT;LODGING/ACCOMMODATION
860050;principal;;;;10817;Hôtel;Hotel;10803;HÉBERGEMENT;LODGING/ACCOMMODATION
860106;principal;10819;Chalet / appartement / résidence de tourisme;Cottage / apartment / tourist home;;;;10803;HÉBERGEMENT;LODGING/ACCOMMODATION
860234;principal;;;;10817;Hôtel;Hotel;10803;HÉBERGEMENT;LODGING/ACCOMMODATION
860754;principal;;;;10817;Hôtel;Hotel;10803;HÉBERGEMENT;LODGING/ACCOMMODATION
861215;principal;;;;10817;Hôtel;Hotel;10803;HÉBERGEMENT;LODGING/ACCOMMODATION
861348;principal;;;;10817;Hôtel;Hotel;10803;HÉBERGEMENT;LODGING/ACCOMMODATION
861636;principal;;;;10817;Hôtel;Hotel;10803;HÉBERGEMENT;LODGING/ACCOMMODATION
861697;principal;;;;10817;Hôtel;Hotel;10803;HÉBERGEMENT;LODGING/ACCOMMODATION
861758;principal;;;;10817;Hôtel;Hotel;10803;HÉBERGEMENT;LODGING/ACCOMMODATION
861926;principal;;;;10817;Hôtel;Hotel;10803;HÉBERGEMENT;LODGING/ACCOMMODATION
862117;principal;;;;10817;Hôtel;Hotel;10803;HÉBERGEMENT;LODGING/ACCOMMODATION
862263;principal;;;;10817;Hôtel;Hotel;10803;HÉBERGEMENT;LODGING/ACCOMMODATION
862347;principal;;;;10817;Hôtel;Hotel;10803;HÉBERGEMENT;LODGING/ACCOMMODATION
